System Properties
Collision Frequency :0.228000
Pressure: 0.005460
Temparature: 0.000362
rms Velocity: 0.010000
Mean Free Path: 0.430663

particle states
0.833155 0.445141 0.017419 -0.001901
0.850573 0.443239 0.017419 -0.001901
0.867992 0.441338 0.017419 -0.001901
0.885411 0.439437 0.017419 -0.001901
0.902829 0.437535 0.017419 -0.001901
0.920248 0.435634 0.017419 -0.001901
0.937667 0.433732 0.017419 -0.001901
0.955085 0.431831 0.017419 -0.001901
0.972504 0.429929 0.017419 -0.001901
0.970077 0.428028 -0.017419 -0.001901
0.952659 0.426126 -0.017419 -0.001901
0.935240 0.424225 -0.017419 -0.001901
0.917821 0.422324 -0.017419 -0.001901
0.900403 0.420422 -0.017419 -0.001901
0.889673 0.408871 -0.010283 -0.012196
0.879390 0.396675 -0.010283 -0.012196
0.869108 0.384479 -0.010283 -0.012196
0.858825 0.372283 -0.010283 -0.012196
0.848543 0.360087 -0.010283 -0.012196
0.838260 0.347891 -0.010283 -0.012196
0.827978 0.335695 -0.010283 -0.012196
0.817695 0.323500 -0.010283 -0.012196
0.807412 0.311304 -0.010283 -0.012196
0.797130 0.299108 -0.010283 -0.012196
0.786847 0.286912 -0.010283 -0.012196
0.776565 0.274716 -0.010283 -0.012196
0.766282 0.262520 -0.010283 -0.012196
0.756000 0.250324 -0.010283 -0.012196
0.745717 0.238128 -0.010283 -0.012196
0.735435 0.225932 -0.010283 -0.012196
0.725152 0.213736 -0.010283 -0.012196
0.714869 0.201540 -0.010283 -0.012196
0.704587 0.189344 -0.010283 -0.012196
0.694304 0.177148 -0.010283 -0.012196
0.684022 0.164952 -0.010283 -0.012196
0.673739 0.152756 -0.010283 -0.012196
0.663457 0.140560 -0.010283 -0.012196
0.653174 0.128364 -0.010283 -0.012196
0.642892 0.116168 -0.010283 -0.012196
0.632609 0.103973 -0.010283 -0.012196
0.622326 0.091777 -0.010283 -0.012196
0.612044 0.079581 -0.010283 -0.012196
0.601761 0.067385 -0.010283 -0.012196
0.591479 0.055189 -0.010283 -0.012196
0.581196 0.042993 -0.010283 -0.012196
0.570914 0.030797 -0.010283 -0.012196
0.560631 0.021399 -0.010283 0.012196
0.550349 0.033595 -0.010283 0.012196
0.540066 0.045791 -0.010283 0.012196
0.529783 0.057987 -0.010283 0.012196
0.519501 0.070183 -0.010283 0.012196
0.509218 0.082379 -0.010283 0.012196
0.498936 0.094575 -0.010283 0.012196
0.488653 0.106771 -0.010283 0.012196
0.478371 0.118967 -0.010283 0.012196
0.468088 0.131163 -0.010283 0.012196
0.457806 0.143359 -0.010283 0.012196
0.447523 0.155555 -0.010283 0.012196
0.437240 0.167750 -0.010283 0.012196
0.426958 0.179946 -0.010283 0.012196
0.416675 0.192142 -0.010283 0.012196
0.406393 0.204338 -0.010283 0.012196
0.396110 0.216534 -0.010283 0.012196
0.385828 0.228730 -0.010283 0.012196
0.375545 0.240926 -0.010283 0.012196
0.365263 0.253122 -0.010283 0.012196
0.354980 0.265318 -0.010283 0.012196
0.344697 0.277514 -0.010283 0.012196
0.334415 0.289710 -0.010283 0.012196
0.324132 0.301906 -0.010283 0.012196
0.328014 0.302727 0.009051 -0.003330
0.337065 0.299397 0.009051 -0.003330
0.346115 0.296067 0.009051 -0.003330
0.355166 0.292738 0.009051 -0.003330
0.364216 0.289408 0.009051 -0.003330
0.373267 0.286078 0.009051 -0.003330
0.382317 0.282748 0.009051 -0.003330
0.391368 0.279419 0.009051 -0.003330
0.400418 0.276089 0.009051 -0.003330
0.409469 0.272759 0.009051 -0.003330
0.418519 0.269429 0.009051 -0.003330
0.427570 0.266099 0.009051 -0.003330
0.436620 0.262770 0.009051 -0.003330
0.445671 0.259440 0.009051 -0.003330
0.454721 0.256110 0.009051 -0.003330
0.463772 0.252780 0.009051 -0.003330
0.472822 0.249451 0.009051 -0.003330
0.481873 0.246121 0.009051 -0.003330
0.474615 0.245430 -0.007292 -0.000685
0.467323 0.244745 -0.007292 -0.000685
0.460032 0.244060 -0.007292 -0.000685
0.452740 0.243374 -0.007292 -0.000685
0.445448 0.242689 -0.007292 -0.000685
0.438156 0.242004 -0.007292 -0.000685
0.430865 0.241319 -0.007292 -0.000685
0.423573 0.240633 -0.007292 -0.000685
0.416281 0.239948 -0.007292 -0.000685
0.408989 0.239263 -0.007292 -0.000685
0.401698 0.238578 -0.007292 -0.000685
0.394406 0.237892 -0.007292 -0.000685
0.387114 0.237207 -0.007292 -0.000685
0.379823 0.236522 -0.007292 -0.000685
0.372531 0.235837 -0.007292 -0.000685
0.365239 0.235151 -0.007292 -0.000685
0.357947 0.234466 -0.007292 -0.000685
0.350656 0.233781 -0.007292 -0.000685
0.343364 0.233096 -0.007292 -0.000685
0.336072 0.232410 -0.007292 -0.000685
0.328780 0.231725 -0.007292 -0.000685
0.321489 0.231040 -0.007292 -0.000685
0.314197 0.230355 -0.007292 -0.000685
0.306905 0.229669 -0.007292 -0.000685
0.299614 0.228984 -0.007292 -0.000685
0.292322 0.228299 -0.007292 -0.000685
0.285030 0.227613 -0.007292 -0.000685
0.277738 0.226928 -0.007292 -0.000685
0.270447 0.226243 -0.007292 -0.000685
0.263155 0.225558 -0.007292 -0.000685
0.255863 0.224872 -0.007292 -0.000685
0.248572 0.224187 -0.007292 -0.000685
0.241280 0.223502 -0.007292 -0.000685
0.233988 0.222817 -0.007292 -0.000685
0.226696 0.222131 -0.007292 -0.000685
0.219405 0.221446 -0.007292 -0.000685
0.212113 0.220761 -0.007292 -0.000685
0.204821 0.220076 -0.007292 -0.000685
0.197529 0.219390 -0.007292 -0.000685
0.190238 0.218705 -0.007292 -0.000685
0.182946 0.218020 -0.007292 -0.000685
0.175654 0.217335 -0.007292 -0.000685
0.168363 0.216649 -0.007292 -0.000685
0.161071 0.215964 -0.007292 -0.000685
0.153779 0.215279 -0.007292 -0.000685
0.146487 0.214594 -0.007292 -0.000685

